SN,Continent,Country,Location_Name,Location_Code,Cluster_Name,Cluster_Code,Plot_ Name,Plot_ Code,Minumum_Plot_Dimention (m),Maximum_Plot_Dimention (m),Total_Plot_Edge (m),Census_Date,PI,Latitude (plot),Longitude (plot),x (plot),y (plot),Tag_No,Family,Original_Identification,Genus,Species,Species_Code,Edibility_Category,x (tree),y (tree),Elevation (m),Dimater (cm),Plot_Comments 
466,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1059,Olacaceae,Strombosia grandifolia,Strombosia,Strombosia grandifolia,STGR,Inedible,456268,599332,234,35,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
467,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1060,Phyllanthaceae,Antidesma vogeliana,Antidesma,Antidesma vogelianum,ANVO,Inedible,456265,599324,236,25,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
468,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1061,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,456271,599316,238,14,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
469,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1062,Myristicaceae,Staudtia stipitata,Staudtia,Staudtia stipitata,STST,Inedible,456273,599317,237,26,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
470,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1063,Ebenaceae,Diospyros zenkeri,Diospyros,Diospyros zenkeri,DIZE,Inedible,456277,599319,237,21,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
471,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1064,Fabaceae,Baphia nitida,Baphia,Baphia nitida,BPNI,Inedible,456277,599321,239,15,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
472,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1065,Myrtaceae,Ouretea calophylla,Ouratea,Ouratea calophylla,OUCA,Inedible,456281,599315,240,23,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
473,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1066,Sapotaceae,Chrysophyllum albidum,Chrysophyllum,Chrysophyllum albidum,CHAL,Edible,456285,599314,240,21,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
474,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1067,Malvaceae,Pterygota macrocarpa,Pterygota,Pterygota macrocarpa,PTMA,Inedible,456286,599316,243,21,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
475,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1068,Olacaceae,Caula edulis,Caula,Caula edulis,CAED,Edible,456287,599317,245,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
476,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1069,Olacaceae,Strombosia grandifolia,Strombosia,Strombosia grandifolia,STGR,Inedible,456287,599318,245,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
477,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1070,Olacaceae,Strombosia grandifolia,Strombosia,Strombosia grandifolia,STGR,Inedible,456288,599319,245,14,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
478,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1071,Olacaceae,Caula edulis,Caula,Caula edulis,CAED,Edible,456288,599314,248,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
479,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1072,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,456289,599315,249,24,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
480,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1073,Apocynaceae,Funtumia elastica,Funtumia,Funtumia elastica,FUEL,Inedible,456297,599315,249,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
481,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1074,Irvingiaceae,Klainodoxa gabonense,Klainedoxa,Klainedoxa gabonensis ,KLGA,Inedible,456301,599316,252,72,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
482,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1075,Phyllanthaceae,Bredelia micrantha,Bridelia,Bridelia micrantha,BRMI,Inedible,456300,599313,256,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
483,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1076,Meliaceae,Lovoa trichilioides,Lovoa,Lovoa trichilioides,LOTR,Inedible,456298,599305,254,27,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
484,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1077,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,456296,599309,251,27,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
485,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1078,Fabaceae,Baphia nitida,Baphia,Baphia nitida,BPNI,Inedible,456293,599309,250,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
486,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1079,Phyllanthaceae,Uapaca staudtii,Uapaca,Uapaca staudtii,UAST,Edible,456293,599310,250,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
487,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1080,Meliaceae,Carapa procera,Carapa,Carapa procera,CAPR,Inedible,456293,599310,252,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
488,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1081,Simaroubaceae,Hannoa klaineana,Hannoa,Hannoa klaineana,HAKL,Inedible,456291,599310,250,27,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
489,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1082,Urticaceae,Myrianthus arboreus,Myrianthus,Myrianthus arboreus,MYAR,Inedible,456290,599310,249,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
490,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1083,Ebenaceae,Diospyros mespiliformis,Diospyros,Diospyros mespiliformis,DIME,Inedible,456288,599311,249,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
491,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1084,Sapotaceae,Chrysophyllum dumbeya,Chrysophyllum,Chrysophyllum dumbeya,CHDU,Edible,456282,599309,249,18,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
492,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1085,Fabaceae,Pentaclethra macrophylla,Pentaclethra,Pentaclethra macrophylla,PNMA,Edible,456278,599315,249,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
493,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1086,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,456272,599314,246,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
494,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1087,Olacaceae,Octoknemia affine,Octoknema,Octoknema affinis,OCAF,Inedible,456271,599314,246,14,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
495,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1088,Lecythidaceae,Petersianthus macrocarpus,Petersianthus,Petersianthus macrocarpus,PTMA,Inedible,456270,599314,246,34,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
496,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1089,Fabaceae,Distimonanthus benthamianus,Distimonanthus,Distimonanthus benthamianus,DIBE,Inedible,456266,599317,244,52,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
497,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1090,Annonaceae,Enanthia chlorantia,Enantia,Enantia chlorantha,ENCH,Inedible,456265,599307,241,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
498,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1091,Meliaceae,Guara thompsonii,Guarea,Guarea thompsonii,GUTH,Inedible,456271,599303,240,40,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
499,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1092,Fabaceae,Distimonanthus benthamianus,Distimonanthus,Distimonanthus benthamianus,DIBE,Inedible,456271,599304,242,103,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
500,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1093,Ebenaceae,Diospyros mespiliformis,Diospyros,Diospyros mespiliformis,DIME,Inedible,456271,599309,243,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
501,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1094,Phyllanthaceae,Bredelia ferruginea,Bridelia,Bridelia ferruginea,BRFE,Inedible,456272,599306,244,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
502,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1095,Ochnaceae,Lophira alata,Lophira,Lophira alata,LOAL,Inedible,456276,599304,246,104,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
503,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1096,Sapotaceae,Chrysophyllum dumbeya,Chrysophyllum,Chrysophyllum dumbeya,CHDU,Edible,456276,599303,244,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
504,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1097,Polygalaceae,Carpolobia alba,Carpolobia,Carpolobia alba,CAAL,Edible,456272,599301,244,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
505,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1098,Myristicaceae,Pycnanthus angolensis,Pycnanthus,Pycnanthus angolensis,PYAN,Edible,456270,599301,248,31,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
506,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1099,Myrtaceae,Ouretea calophylla,Ouratea,Ouratea calophylla,OUCA,Inedible,456271,599295,250,16,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
507,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1100,Pandaceae,Macrodermis puberula,Microdesmis,Microdesmis puberula,MIPU,Inedible,456262,599286,237,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
508,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1101,Meliaceae,Carapa procera,Carapa,Carapa procera,CAPR,Inedible,456266,599289,237,18,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
509,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1102,Myrtaceae,Ouretea calophylla,Ouratea,Ouratea calophylla,OUCA,Inedible,456273,599296,246,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
510,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1103,Rubiaceae,Nauclea diderrichii,Nauclea,Nauclea diderrichii,NADI,Inedible,456274,599298,246,16,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
511,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1104,Guttiferae,Garcinia smeathmannii,Garcinia,Garcinia smeathmannii,GASM,Inedible,456281,599298,249,14,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
512,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1105,Burseraceae,Canarium schweinfurtii,Canarium,Canarium schweinfurthii,CASC,Edible,456280,599297,247,38,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
513,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1106,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,456282,599297,250,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
514,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1107,Moraceae,Ficus capensis,Ficus,Ficus capensis,FICA,Inedible,456282,599297,250,33,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
515,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1108,Phyllanthaceae,Bredelia ferruginea,Bridelia,Bridelia ferruginea,BRFE,Inedible,456282,599292,249,13,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
516,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1109,Urticaceae,Musanga cecropioides,Musanga,Musanga cecropioides,MUCE,Inedible,456287,599289,249,30,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
517,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1110,Urticaceae,Musanga cecropioides,Musanga,Musanga cecropioides,MUCE,Inedible,456290,599289,250,16,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
518,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1111,Fabaceae,Millittia grifforniana,Millettia,Millettia grifforniana,MIGR,Inedible,456290,599290,252,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
519,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1112,Apocynaceae,Tabernaemontana pachysiphon,Tabernaemontana,Tabernaemontana pachysiphon,TAPA,Inedible,456295,599294,252,15,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
520,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 1,L3P1,40,40,160,29/08/2019,Sijeh Asuk,5.42,8.61,456241.4,599326.1,1113,Meliaceae,Trichilia obovoidea,Trichilia,Trichilia obovoidea,TROB,Inedible,456289,599328,248,15,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
521,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 2,L3P2,40,40,160,30/08/2019,Sijeh Asuk,5.42,8.61,456352.18,599326.02,382,Sapotaceae,Chrysophyllum dumbeya,Chrysophyllum,Chrysophyllum dumbeya,CHDU,Edible,456303,599329,262,18,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
522,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 2,L3P2,40,40,160,30/08/2019,Sijeh Asuk,5.42,8.61,456352.18,599326.02,383,Ebenaceae,Diospyros zenkeri,Diospyros,Diospyros zenkeri,DIZE,Inedible,456308,599334,262,22,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
523,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 2,L3P2,40,40,160,30/08/2019,Sijeh Asuk,5.42,8.61,456352.18,599326.02,384,Malvaceae,Eribroma oblonga,Eribroma,Eribroma oblonga,EROB,Inedible,456308,599333,263,52,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
524,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 2,L3P2,40,40,160,30/08/2019,Sijeh Asuk,5.42,8.61,456352.18,599326.02,385,Olacaceae,Strombosia grandifolia,Strombosia,Strombosia grandifolia,STGR,Inedible,456305,599333,262,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
525,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 2,L3P2,40,40,160,30/08/2019,Sijeh Asuk,5.42,8.61,456352.18,599326.02,386,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,456312,599335,264,21,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
526,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 2,L3P2,40,40,160,30/08/2019,Sijeh Asuk,5.42,8.61,456352.18,599326.02,387,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,456313,599337,265,21,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
527,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 2,AKG-02,Aking Location 2 Plot 2,L3P2,40,40,160,30/08/2019,Sijeh Asuk,5.42,8.61,456352.18,599326.02,388,Olacaceae,Octoknemia affine,Octoknema,Octoknema affinis,OCAF,Inedible,456306,599337,265,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
